City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,San Carlos De Bariloche,AR,-41.1456,-71.3082,73.15,27,0,4.61,clear sky
79,Acapulco,MX,16.8634,-99.8901,84.02,61,0,10.36,clear sky
80,Port Elizabeth,ZA,-33.918,25.5701,71.1,77,0,4.61,clear sky
81,Yulara,AU,-25.2406,130.9889,82.24,30,0,9.22,clear sky
82,Te Anau,NZ,-45.4167,167.7167,61.68,51,48,2.37,scattered clouds
83,Scottsbluff,US,41.8666,-103.6672,42.12,45,0,3.0,clear sky
84,Dzhebariki-Khaya,RU,62.2167,135.8,-37.88,99,100,0.67,overcast clouds
85,Bethel,US,41.3712,-73.414,27.0,72,0,4.61,clear sky
86,Cape Town,ZA,-33.9258,18.4232,65.26,84,20,3.44,few clouds
87,Jamestown,US,42.097,-79.2353,31.59,47,0,5.99,clear sky
88,Qaqortoq,GL,60.7167,-46.0333,9.1,71,100,10.51,overcast clouds
89,Lodja,CD,-3.4833,23.4333,69.06,96,100,1.52,overcast clouds
90,Namibe,AO,-15.1961,12.1522,73.67,68,97,10.38,overcast clouds
91,Wewak,PG,-3.5534,143.6268,80.29,83,100,2.8,overcast clouds
92,Port Hawkesbury,CA,45.6169,-61.3485,14.59,85,100,5.75,overcast clouds
93,Half Moon Bay,US,37.4636,-122.4286,70.9,49,0,3.0,clear sky
94,Hauterive,FR,46.0901,3.4459,50.76,87,100,15.55,overcast clouds
95,Barrow,US,71.2906,-156.7887,-25.58,68,0,12.66,clear sky
96,Paamiut,GL,61.994,-49.6678,5.36,75,100,20.71,overcast clouds
97,Tuatapere,NZ,-46.1333,167.6833,60.82,47,1,6.15,clear sky
98,Bukachacha,RU,52.9833,116.9167,-11.04,99,12,3.6,few clouds
99,Turukhansk,RU,65.8167,87.9833,-22.74,100,81,3.49,broken clouds
100,Yeppoon,AU,-23.1333,150.7333,80.38,60,7,14.2,clear sky
101,Taoudenni,ML,22.6783,-3.9836,67.42,13,13,10.36,few clouds
102,Mahon,ES,39.8885,4.2658,48.76,93,20,4.61,few clouds
103,Vanimo,PG,-2.6741,141.3028,80.17,85,100,3.11,overcast clouds
104,Morgan City,US,29.6994,-91.2068,54.0,40,0,3.44,clear sky
105,Bonthe,SL,7.5264,-12.505,77.68,89,24,5.68,few clouds
106,Arraial Do Cabo,BR,-22.9661,-42.0278,76.53,89,14,21.83,few clouds
107,Kichmengskiy Gorodok,RU,59.9816,45.7854,9.05,98,100,2.26,overcast clouds
108,Isangel,VU,-19.55,169.2667,81.01,88,100,15.26,overcast clouds
109,Kamenka,RU,51.3223,42.7678,19.42,99,95,6.78,overcast clouds
110,Wakkanai,JP,45.4094,141.6739,24.78,93,100,16.11,overcast clouds
111,Suoyarvi,RU,62.0833,32.35,26.11,96,100,10.96,light snow
112,Iqaluit,CA,63.7506,-68.5145,-38.31,65,0,3.0,clear sky
113,Kalakamati,BW,-20.5929,27.3121,64.78,74,31,11.32,scattered clouds
114,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,8.05,light rain
115,Kyshtovka,RU,56.555,76.6271,-1.89,93,100,4.29,overcast clouds
116,Husavik,IS,66.0449,-17.3389,17.13,92,99,10.11,overcast clouds
117,Dewas,IN,22.9667,76.0667,57.38,39,0,4.36,clear sky
118,Palmer,US,42.1584,-72.3287,24.35,70,100,2.66,overcast clouds
119,Nantucket,US,41.2835,-70.0995,31.14,67,0,5.75,clear sky
120,Atuona,PF,-9.8,-139.0333,78.76,76,20,18.41,light rain
121,Kirakira,SB,-10.4544,161.9205,84.69,77,98,11.14,overcast clouds
122,North Bend,US,43.4065,-124.2243,64.24,50,0,3.44,clear sky
123,Jaypur,IN,18.85,82.5833,56.97,48,83,3.83,broken clouds
124,Saint-Joseph,RE,-21.3667,55.6167,75.58,80,99,9.17,overcast clouds
125,Hokitika,NZ,-42.7167,170.9667,65.03,53,100,5.55,overcast clouds
126,Bira,RU,49.0,132.4667,-2.52,90,81,1.92,broken clouds
127,Nouakchott,MR,18.0858,-15.9785,66.13,63,8,13.15,clear sky
128,Yumen,CN,40.2833,97.2,11.19,83,61,10.56,broken clouds
129,Briancon,FR,44.9,6.65,34.93,93,58,5.97,light snow
130,Ponta Delgada,PT,37.7333,-25.6667,60.49,94,75,8.05,broken clouds
131,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.5,76,17,11.21,few clouds
132,Klaksvik,FO,62.2266,-6.589,34.72,54,90,31.23,overcast clouds
133,Beloha,MG,-25.1667,45.05,74.25,93,100,15.17,light rain
134,Faanui,PF,-16.4833,-151.75,81.66,74,94,20.27,overcast clouds
135,Viedma,AR,-40.8135,-62.9967,64.13,65,2,12.88,clear sky
136,Shelburne,CA,44.0787,-80.2041,26.26,77,75,14.41,broken clouds
137,Camacupa,AO,-12.0167,17.4833,61.25,63,100,4.79,overcast clouds
138,Pangnirtung,CA,66.1451,-65.7125,-35.27,98,100,2.64,overcast clouds
139,Carnarvon,AU,-24.8667,113.6333,73.47,46,14,20.71,few clouds
140,Kutum,SD,14.2,24.6667,50.16,27,64,8.97,broken clouds
141,Dikson,RU,73.5069,80.5464,-15.39,98,96,14.25,overcast clouds
142,Cabedelo,BR,-6.9811,-34.8339,79.72,71,5,13.47,clear sky
143,Shahrud,IR,36.4182,54.9763,30.04,67,25,2.37,scattered clouds
144,Hilo,US,19.7297,-155.09,78.53,75,100,11.5,overcast clouds
145,La Ronge,CA,55.1001,-105.2842,16.47,96,99,6.8,overcast clouds
146,Priiskovyy,RU,51.9333,116.6333,-18.15,100,96,1.43,overcast clouds
147,Paharpur,PK,32.1038,70.9724,53.96,48,21,6.13,few clouds
148,Aykhal,RU,66.0,111.5,-13.97,99,100,4.94,overcast clouds
149,Kuvshinovo,RU,57.0295,34.1725,27.75,96,100,10.33,light snow
150,Umm Kaddadah,SD,13.6017,26.6876,55.69,25,96,15.21,overcast clouds
151,The Pas,CA,53.8251,-101.2541,-0.38,78,100,13.8,overcast clouds
152,Boffa,GN,10.1667,-14.0333,73.06,85,3,2.91,clear sky
153,Porto Velho,BR,-8.7619,-63.9039,73.45,94,40,0.0,scattered clouds
154,Luganville,VU,-15.5333,167.1667,86.02,69,100,8.81,overcast clouds
155,Padang,ID,-0.9492,100.3543,71.65,81,100,2.04,overcast clouds
156,Esperance,AU,-33.8667,121.9,64.36,56,42,25.39,scattered clouds
157,Kabinda,CD,-6.1333,24.4833,65.32,97,100,2.55,moderate rain
158,Avarua,CK,-21.2078,-159.775,82.45,78,20,13.8,few clouds
159,Constitucion,CL,-35.3333,-72.4167,60.84,76,7,9.13,clear sky
160,Qaanaaq,GL,77.484,-69.3632,-12.98,59,31,8.28,scattered clouds
161,Vega De Alatorre,MX,20.0333,-96.6333,62.4,79,19,1.63,few clouds
162,Pangoa,PE,-12.1167,-73.0,70.65,91,100,1.39,light rain
163,Galich,RU,58.3797,42.3475,4.93,99,97,5.08,overcast clouds
164,Ngawen,ID,-7.0032,111.3129,77.18,89,100,4.61,overcast clouds
165,Ordynskoye,RU,54.3656,81.8994,0.77,94,95,2.37,overcast clouds
166,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,85,78,12.53,broken clouds
167,Araouane,ML,18.9048,-3.5265,65.08,11,0,8.61,clear sky
168,San Bartolome De Tirajana,ES,27.9248,-15.5733,56.32,58,20,17.27,few clouds
169,Dudinka,RU,69.4058,86.1778,-35.52,100,24,3.62,few clouds
170,Komsomolets,KZ,53.7453,62.0708,5.49,92,86,2.46,overcast clouds
171,Puerto Triunfo,CO,5.8726,-74.6403,76.19,86,33,1.7,scattered clouds
172,Guerrero Negro,MX,27.9769,-114.0611,66.2,28,0,11.32,clear sky
173,Kavieng,PG,-2.5744,150.7967,83.43,71,45,2.51,scattered clouds
174,Bengkulu,ID,-3.8004,102.2655,75.04,88,97,7.67,overcast clouds
175,Beyneu,KZ,45.3167,55.2,29.19,80,45,7.72,scattered clouds
176,Chartres,FR,48.4167,1.5,47.91,77,92,19.69,overcast clouds
177,Gondar,ET,12.6,37.4667,57.34,49,50,4.47,scattered clouds
178,Mae Sai,TH,20.4335,99.8762,60.12,97,51,1.61,broken clouds
179,Port Alfred,ZA,-33.5906,26.891,74.84,79,91,6.38,overcast clouds
180,Hasaki,JP,35.7333,140.8333,37.29,40,4,11.74,clear sky
181,Oran,DZ,35.6911,-0.6417,47.91,100,40,0.0,scattered clouds
182,Valleyview,CA,55.0667,-117.2859,42.84,49,81,19.57,broken clouds
183,Airai,TL,-8.9266,125.4092,68.97,74,71,1.21,broken clouds
184,Mosina,PL,52.2454,16.8471,39.94,90,100,8.05,overcast clouds
185,Severo-Yeniseyskiy,RU,60.3725,93.0408,3.31,99,100,2.51,overcast clouds
186,Cidreira,BR,-30.1811,-50.2056,71.47,72,6,10.98,clear sky
187,Kota Kinabalu,MY,5.9749,116.0724,78.78,89,20,4.61,few clouds
188,Cabo San Lucas,MX,22.8909,-109.9124,72.61,66,20,1.01,few clouds
189,Vao,NC,-22.6667,167.4833,80.71,82,70,4.76,broken clouds
190,Talnakh,RU,69.4865,88.3972,-28.28,99,56,1.21,broken clouds
191,Margate,GB,51.3813,1.3862,43.75,67,47,11.01,scattered clouds
192,Baghdad,IQ,33.3406,44.4009,40.91,70,0,2.3,clear sky
193,Rasshevatskaya,RU,45.5748,41.035,30.25,81,100,11.45,overcast clouds
194,Nanortalik,GL,60.1432,-45.2371,18.61,63,100,34.92,overcast clouds
195,Axim,GH,4.8699,-2.2405,78.39,87,85,6.73,overcast clouds
196,Nagato,JP,34.3833,131.2,40.91,48,23,6.58,few clouds
197,Artsvanist,AM,40.1544,45.5022,16.56,77,13,4.47,few clouds
198,Acajutla,SV,13.5928,-89.8275,82.8,59,26,2.46,scattered clouds
199,Jalu,LY,29.0331,21.5482,57.18,32,20,6.04,few clouds
200,Longyearbyen,SJ,78.2186,15.6401,19.24,68,20,12.66,few clouds
201,Kiunga,PG,-6.1219,141.2906,83.71,74,95,0.92,overcast clouds
202,Sahbuz,AZ,39.4072,45.5739,22.6,66,41,4.52,scattered clouds
203,Mahibadhoo,MV,3.7833,72.9667,81.01,64,46,9.06,scattered clouds
204,Stornoway,GB,58.2093,-6.3865,38.03,81,75,3.0,broken clouds
205,Barcelos,PT,41.5388,-8.6151,50.68,66,43,5.06,scattered clouds
206,Henties Bay,NA,-22.116,14.2845,69.85,81,92,5.93,overcast clouds
207,Manhuacu,BR,-20.2581,-42.0336,67.32,98,54,3.42,broken clouds
208,Craig,US,40.5153,-107.5464,27.19,74,0,4.61,clear sky
209,Puerto Ayora,EC,-0.7393,-90.3518,74.55,91,36,4.0,scattered clouds
210,Batagay,RU,67.6333,134.6333,-35.86,96,100,2.08,overcast clouds
211,Mar Del Plata,AR,-38.0023,-57.5575,66.09,80,75,4.0,broken clouds
212,Vestmannaeyjar,IS,63.4427,-20.2734,35.47,67,100,36.46,light rain
213,Srimushnam,IN,11.4,79.4167,69.39,91,83,6.13,broken clouds
214,Rantepao,ID,-2.9701,119.8978,72.39,90,90,0.2,light rain
215,Mahebourg,MU,-20.4081,57.7,79.09,83,40,8.05,scattered clouds
216,Saint-Francois,FR,46.4154,3.9054,48.42,87,100,17.27,overcast clouds
217,Oussouye,SN,12.485,-16.5469,73.58,72,0,6.67,clear sky
218,Hithadhoo,MV,-0.6,73.0833,81.99,72,31,14.14,scattered clouds
219,Tadine,NC,-21.55,167.8833,84.24,73,84,4.32,moderate rain
220,Ishigaki,JP,24.3448,124.1572,66.33,72,75,13.8,broken clouds
221,Katsuura,JP,35.1333,140.3,45.19,40,34,12.03,scattered clouds
222,Alekseyevka,RU,50.6309,38.6903,27.77,96,99,9.13,overcast clouds
223,Thanatpin,MM,17.2119,96.3033,69.98,61,68,3.31,broken clouds
224,Tole,UA,44.7167,33.8167,39.51,87,99,6.4,overcast clouds
225,Takoradi,GH,4.8845,-1.7554,79.45,85,91,8.34,overcast clouds
226,Luderitz,NA,-26.6481,15.1594,69.35,72,35,7.34,scattered clouds
227,Leova,MD,46.4786,28.2553,40.05,47,86,12.28,overcast clouds
228,Haines Junction,CA,60.7522,-137.5108,40.95,38,78,10.36,broken clouds
229,Daru,PG,-9.0763,143.2092,84.04,71,100,5.66,overcast clouds
230,Salalah,OM,17.0151,54.0924,75.29,27,0,14.97,clear sky
231,Willowmore,ZA,-33.2926,23.4895,70.75,60,45,3.09,scattered clouds
232,Visakhapatnam,IN,17.69,83.2093,66.09,94,20,2.3,mist
233,Broome,US,42.2506,-75.833,24.91,76,0,1.01,clear sky
234,Port Hedland,AU,-20.3167,118.5667,78.85,100,75,0.0,moderate rain
235,Placido De Castro,BR,-10.3353,-67.1856,75.36,86,100,2.73,overcast clouds
236,Raga,SS,8.4596,25.678,63.9,21,49,5.3,scattered clouds
237,Meulaboh,ID,4.1363,96.1285,74.34,92,100,5.01,overcast clouds
238,Vysokogornyy,RU,50.1167,139.15,-5.1,95,97,3.89,overcast clouds
239,Lorengau,PG,-2.0226,147.2712,82.96,79,100,8.5,overcast clouds
240,Fajardo,PR,18.3258,-65.6524,73.78,100,100,11.5,overcast clouds
241,Taltal,CL,-25.4,-70.4833,67.59,73,22,3.51,few clouds
242,Zheleznodorozhnyy,RU,55.7503,38.0042,26.82,96,100,4.88,overcast clouds
243,Bandar-E Anzali,IR,37.4727,49.4622,37.51,74,61,1.59,broken clouds
244,Jalalabad,AF,34.4265,70.4515,47.48,67,88,3.58,overcast clouds
245,Anadyr,RU,64.75,177.4833,-17.9,76,0,6.71,clear sky
246,Ogawa,JP,36.05,139.2667,40.01,37,0,6.71,clear sky
247,Makakilo City,US,21.3469,-158.0858,82.72,53,20,6.91,few clouds
248,Penzance,GB,50.1186,-5.5371,50.77,80,67,18.57,broken clouds
249,Karratha,AU,-20.7377,116.8463,86.29,67,28,7.09,scattered clouds
